,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
15513,123688.0,0.7563,10,18/03/15,IF61C,2015,1,9.3,90,Formado,1
15516,123688.0,0.7563,10,18/03/15,MA61B,2015,1,7.1,90,Formado,2
15517,123688.0,0.7563,10,18/03/15,MA61A,2015,1,7.0,90,Formado,3
15518,123688.0,0.7563,10,18/03/15,FI61A,2015,1,6.4,75,Formado,4
15528,123688.0,0.7563,10,18/03/15,ES61A,2015,1,6.8,30,Formado,5
15536,123688.0,0.7563,10,18/03/15,MA71B,2015,1,7.1,90,Formado,6
15544,123688.0,0.7563,10,18/03/15,IF61B,2015,1,8.2,60,Formado,7
15554,123688.0,0.7563,10,18/03/15,FI71M,2015,1,6.4,60,Formado,8
15560,123688.0,0.7563,10,18/03/15,MA71A,2015,1,7.0,90,Formado,9
15575,123688.0,0.7563,10,18/03/15,ES70R,2015,1,6.8,30,Formado,10
15519,123688.0,0.7563,10,18/03/15,MA62A,2015,2,6.5,60,Formado,11
15527,123688.0,0.7563,10,18/03/15,ME62I,2015,2,8.9,45,Formado,12
15529,123688.0,0.7563,10,18/03/15,QB62A,2015,2,6.7,90,Formado,13
15530,123688.0,0.7563,10,18/03/15,IF62J,2015,2,8.5,45,Formado,14
15537,123688.0,0.7563,10,18/03/15,MA72A,2015,2,6.5,60,Formado,15
15542,123688.0,0.7563,10,18/03/15,IF62C,2015,2,7.7,60,Formado,16
15550,123688.0,0.7563,10,18/03/15,FI72N,2015,2,8.0,30,Formado,17
15555,123688.0,0.7563,10,18/03/15,EL62O,2015,2,10.0,45,Formado,18
15559,123688.0,0.7563,10,18/03/15,FI73A,2015,2,3.1,75,Formado,19
15562,123688.0,0.7563,10,18/03/15,FI72M,2015,2,1.3,60,Formado,20
15572,123688.0,0.7563,10,18/03/15,QB70D,2015,2,6.7,90,Formado,21
15515,123688.0,0.7563,10,18/03/15,MA63B,2016,1,6.7,60,Formado,22
15520,123688.0,0.7563,10,18/03/15,MA63A,2016,1,7.2,60,Formado,23
15521,123688.0,0.7563,10,18/03/15,MA65A,2016,1,7.5,60,Formado,24
15523,123688.0,0.7563,10,18/03/15,IF63E,2016,1,7.6,60,Formado,25
15526,123688.0,0.7563,10,18/03/15,IF63C,2016,1,7.4,45,Formado,26
15534,123688.0,0.7563,10,18/03/15,FI63A,2016,1,8.5,75,Formado,27
15539,123688.0,0.7563,10,18/03/15,MA70G,2016,1,6.7,60,Formado,28
15556,123688.0,0.7563,10,18/03/15,MA70H,2016,1,7.5,60,Formado,29
15557,123688.0,0.7563,10,18/03/15,MA73A,2016,1,7.2,60,Formado,30
15558,123688.0,0.7563,10,18/03/15,FI73A,2016,1,8.5,75,Formado,31
15576,123688.0,0.7563,10,18/03/15,IF63O,2016,1,7.5,45,Formado,32
15514,123688.0,0.7563,10,18/03/15,FI62A,2016,2,8.2,75,Formado,33
15522,123688.0,0.7563,10,18/03/15,IF64C,2016,2,6.4,45,Formado,34
15524,123688.0,0.7563,10,18/03/15,EL63B,2016,2,7.5,75,Formado,35
15535,123688.0,0.7563,10,18/03/15,ES70L,2016,2,10.0,30,Formado,36
15541,123688.0,0.7563,10,18/03/15,ES60A,2016,2,10.0,30,Formado,37
15549,123688.0,0.7563,10,18/03/15,IF64J,2016,2,7.3,45,Formado,38
15561,123688.0,0.7563,10,18/03/15,FI72M,2016,2,8.3,60,Formado,39
15463,123688.0,0.7563,10,18/03/15,CSE20,2017,1,7.7,60,Formado,40
15464,123688.0,0.7563,10,18/03/15,CSF20,2017,1,7.4,45,Formado,41
15465,123688.0,0.7563,10,18/03/15,CSD20,2017,1,8.2,45,Formado,42
15469,123688.0,0.7563,10,18/03/15,CSH30,2017,1,7.5,45,Formado,43
15470,123688.0,0.7563,10,18/03/15,CSA31,2017,1,8.2,45,Formado,44
15473,123688.0,0.7563,10,18/03/15,CSF13,2017,1,9.3,90,Formado,45
15478,123688.0,0.7563,10,18/03/15,FI71S,2017,1,6.4,60,Formado,46
15480,123688.0,0.7563,10,18/03/15,EEB21,2017,1,7.5,45,Formado,47
15482,123688.0,0.7563,10,18/03/15,EEB22,2017,1,7.5,45,Formado,48
