,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
28526,180984.0,0.7412,10,29/02/16,ES70R,2016,1,7.0,30,Formado,1
28541,180984.0,0.7412,10,29/02/16,IF61B,2016,1,6.5,60,Formado,2
28547,180984.0,0.7412,10,29/02/16,MA61A,2016,1,6.1,90,Formado,3
28548,180984.0,0.7412,10,29/02/16,MA61B,2016,1,7.1,90,Formado,4
28549,180984.0,0.7412,10,29/02/16,IF61C,2016,1,8.5,90,Formado,5
28552,180984.0,0.7412,10,29/02/16,ES61A,2016,1,7.0,30,Formado,6
28617,180984.0,0.7412,10,29/02/16,FI71M,2016,1,4.1,60,Formado,7
28522,180984.0,0.7412,10,29/02/16,EL62O,2016,2,10.0,45,Formado,8
28523,180984.0,0.7412,10,29/02/16,FI72N,2016,2,6.4,30,Formado,9
28532,180984.0,0.7412,10,29/02/16,FI73A,2016,2,0.7,75,Formado,10
28535,180984.0,0.7412,10,29/02/16,FI72M,2016,2,4.8,60,Formado,11
28542,180984.0,0.7412,10,29/02/16,IF62C,2016,2,8.1,60,Formado,12
28545,180984.0,0.7412,10,29/02/16,MA72A,2016,2,3.0,60,Formado,13
28551,180984.0,0.7412,10,29/02/16,IF62J,2016,2,9.0,45,Formado,14
28553,180984.0,0.7412,10,29/02/16,QB62A,2016,2,6.0,90,Formado,15
28607,180984.0,0.7412,10,29/02/16,QB70D,2016,2,6.0,90,Formado,16
28534,180984.0,0.7412,10,29/02/16,FI72M,2017,1,8.1,60,Formado,17
28536,180984.0,0.7412,10,29/02/16,QB70C,2017,1,6.0,75,Formado,18
28544,180984.0,0.7412,10,29/02/16,MA72A,2017,1,6.4,60,Formado,19
28558,180984.0,0.7412,10,29/02/16,EEF11,2017,1,10.0,30,Formado,20
28559,180984.0,0.7412,10,29/02/16,EEX21,2017,1,9.0,45,Formado,21
28571,180984.0,0.7412,10,29/02/16,EEX11,2017,1,8.0,45,Formado,22
28576,180984.0,0.7412,10,29/02/16,FI71S,2017,1,7.7,60,Formado,23
28589,180984.0,0.7412,10,29/02/16,FI72S,2017,1,8.1,60,Formado,24
28594,180984.0,0.7412,10,29/02/16,CSF20,2017,1,8.3,45,Formado,25
28595,180984.0,0.7412,10,29/02/16,CSD20,2017,1,6.5,45,Formado,26
28606,180984.0,0.7412,10,29/02/16,CSE20,2017,1,8.1,60,Formado,27
28611,180984.0,0.7412,10,29/02/16,CSF13,2017,1,8.5,90,Formado,28
28616,180984.0,0.7412,10,29/02/16,FI71M,2017,1,7.7,60,Formado,29
28528,180984.0,0.7412,10,29/02/16,MA70G,2017,2,8.5,60,Formado,30
28531,180984.0,0.7412,10,29/02/16,MA73A,2017,2,4.8,60,Formado,31
28590,180984.0,0.7412,10,29/02/16,FI73S,2017,2,8.5,60,Formado,32
28601,180984.0,0.7412,10,29/02/16,EEB21,2017,2,7.1,45,Formado,33
28612,180984.0,0.7412,10,29/02/16,FI73M,2017,2,8.5,60,Formado,34
28614,180984.0,0.7412,10,29/02/16,CSF30,2017,2,7.2,45,Formado,35
28530,180984.0,0.7412,10,29/02/16,MA73A,2018,1,6.0,60,Formado,36
28564,180984.0,0.7412,10,29/02/16,FI74N,2018,1,6.6,30,Formado,37
28567,180984.0,0.7412,10,29/02/16,EEQ31,2018,1,6.0,75,Formado,38
28582,180984.0,0.7412,10,29/02/16,EEB31,2018,1,7.2,90,Formado,39
28588,180984.0,0.7412,10,29/02/16,EEB22,2018,1,2.4,45,Formado,40
28613,180984.0,0.7412,10,29/02/16,CSD21,2018,1,7.8,45,Formado,41
28533,180984.0,0.7412,10,29/02/16,MA71A,2018,2,6.1,90,Formado,42
28543,180984.0,0.7412,10,29/02/16,MA71B,2018,2,7.1,90,Formado,43
28554,180984.0,0.7412,10,29/02/16,CSW30,2018,2,9.3,60,Formado,44
28587,180984.0,0.7412,10,29/02/16,EEB22,2018,2,7.5,45,Formado,45
28592,180984.0,0.7412,10,29/02/16,EEF21,2018,2,9.2,30,Formado,46
28598,180984.0,0.7412,10,29/02/16,CSG20,2018,2,9.3,45,Formado,47
28602,180984.0,0.7412,10,29/02/16,CSA30,2018,2,8.1,45,Formado,48
28529,180984.0,0.7412,10,29/02/16,MA70H,2019,1,8.5,60,Formado,49
28538,180984.0,0.7412,10,29/02/16,ES70G,2019,1,10.0,45,Formado,50
28555,180984.0,0.7412,10,29/02/16,FI74S,2019,1,6.0,60,Formado,51
28566,180984.0,0.7412,10,29/02/16,EEE31,2019,1,6.5,60,Formado,52
28580,180984.0,0.7412,10,29/02/16,CSR31,2019,1,9.0,30,Formado,53
28584,180984.0,0.7412,10,29/02/16,CSI30,2019,1,6.9,45,Formado,54
28603,180984.0,0.7412,10,29/02/16,CSO30,2019,1,7.1,60,Formado,55
28608,180984.0,0.7412,10,29/02/16,FI74M,2019,1,6.0,60,Formado,56
28615,180984.0,0.7412,10,29/02/16,CSB30,2019,1,8.2,60,Formado,57
28609,180984.0,0.7412,10,29/02/16,ES70J,2019,2,0.0,30,Formado,58
