,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
15168,123676.0,0.8913,10,19/08/15,IF61C,2015,2,10.0,90,Formado,1
15171,123676.0,0.8913,10,19/08/15,MA61B,2015,2,9.3,90,Formado,2
15172,123676.0,0.8913,10,19/08/15,MA61A,2015,2,7.7,90,Formado,3
15173,123676.0,0.8913,10,19/08/15,FI61A,2015,2,6.5,75,Formado,4
15182,123676.0,0.8913,10,19/08/15,ES61A,2015,2,9.6,30,Formado,5
15188,123676.0,0.8913,10,19/08/15,MA71B,2015,2,9.3,90,Formado,6
15194,123676.0,0.8913,10,19/08/15,IF61B,2015,2,8.6,60,Formado,7
15202,123676.0,0.8913,10,19/08/15,FI71M,2015,2,6.5,60,Formado,8
15207,123676.0,0.8913,10,19/08/15,MA71A,2015,2,7.7,90,Formado,9
15220,123676.0,0.8913,10,19/08/15,ES70R,2015,2,9.6,30,Formado,10
15169,123676.0,0.8913,10,19/08/15,FI62A,2016,1,9.6,75,Formado,11
15174,123676.0,0.8913,10,19/08/15,MA62A,2016,1,6.5,60,Formado,12
15183,123676.0,0.8913,10,19/08/15,QB62A,2016,1,7.3,90,Formado,13
15184,123676.0,0.8913,10,19/08/15,IF62J,2016,1,10.0,45,Formado,14
15187,123676.0,0.8913,10,19/08/15,FI63A,2016,1,9.2,75,Formado,15
15189,123676.0,0.8913,10,19/08/15,MA72A,2016,1,6.5,60,Formado,16
15195,123676.0,0.8913,10,19/08/15,IF62C,2016,1,9.4,60,Formado,17
15198,123676.0,0.8913,10,19/08/15,FI72N,2016,1,9.5,30,Formado,18
15203,123676.0,0.8913,10,19/08/15,EL62O,2016,1,9.5,45,Formado,19
15206,123676.0,0.8913,10,19/08/15,FI73A,2016,1,9.2,75,Formado,20
15208,123676.0,0.8913,10,19/08/15,FI72M,2016,1,9.6,60,Formado,21
15217,123676.0,0.8913,10,19/08/15,QB70D,2016,1,7.3,90,Formado,22
15170,123676.0,0.8913,10,19/08/15,MA63B,2016,2,9.0,60,Formado,23
15175,123676.0,0.8913,10,19/08/15,MA63A,2016,2,8.8,60,Formado,24
15176,123676.0,0.8913,10,19/08/15,MA65A,2016,2,9.5,60,Formado,25
15177,123676.0,0.8913,10,19/08/15,IF63E,2016,2,9.3,60,Formado,26
15178,123676.0,0.8913,10,19/08/15,EL63B,2016,2,9.1,75,Formado,27
15181,123676.0,0.8913,10,19/08/15,IF63C,2016,2,10.0,45,Formado,28
15191,123676.0,0.8913,10,19/08/15,MA70G,2016,2,9.0,60,Formado,29
15192,123676.0,0.8913,10,19/08/15,ES60A,2016,2,10.0,30,Formado,30
15204,123676.0,0.8913,10,19/08/15,MA70H,2016,2,9.5,60,Formado,31
15205,123676.0,0.8913,10,19/08/15,MA73A,2016,2,8.8,60,Formado,32
15209,123676.0,0.8913,10,19/08/15,ES70L,2016,2,10.0,30,Formado,33
15221,123676.0,0.8913,10,19/08/15,IF63O,2016,2,7.9,45,Formado,34
15130,123676.0,0.8913,10,19/08/15,CSF13,2017,1,10.0,90,Formado,35
15131,123676.0,0.8913,10,19/08/15,CSD21,2017,1,9.3,45,Formado,36
15134,123676.0,0.8913,10,19/08/15,FI71S,2017,1,6.5,60,Formado,37
15137,123676.0,0.8913,10,19/08/15,EEB22,2017,1,9.1,45,Formado,38
15138,123676.0,0.8913,10,19/08/15,FI72S,2017,1,9.6,60,Formado,39
15139,123676.0,0.8913,10,19/08/15,FI73S,2017,1,9.2,60,Formado,40
15147,123676.0,0.8913,10,19/08/15,EEB31,2017,1,10.0,90,Formado,41
15155,123676.0,0.8913,10,19/08/15,EEF11,2017,1,9.5,30,Formado,42
15156,123676.0,0.8913,10,19/08/15,EEX21,2017,1,10.0,45,Formado,43
15160,123676.0,0.8913,10,19/08/15,FI74N,2017,1,9.2,30,Formado,44
15161,123676.0,0.8913,10,19/08/15,EEX22,2017,1,9.3,45,Formado,45
15164,123676.0,0.8913,10,19/08/15,FI74S,2017,1,9.5,60,Formado,46
15166,123676.0,0.8913,10,19/08/15,EEQ31,2017,1,9.5,75,Formado,47
15200,123676.0,0.8913,10,19/08/15,QB70C,2017,1,7.3,75,Formado,48
15201,123676.0,0.8913,10,19/08/15,ES70G,2017,1,7.7,45,Formado,49
15210,123676.0,0.8913,10,19/08/15,CSF30,2017,1,10.0,45,Formado,50
15212,123676.0,0.8913,10,19/08/15,CSA30,2017,1,10.0,45,Formado,51
15218,123676.0,0.8913,10,19/08/15,FI74M,2017,1,9.5,60,Formado,52
15219,123676.0,0.8913,10,19/08/15,ES70P,2017,1,10.0,45,Formado,53
15223,123676.0,0.8913,10,19/08/15,CSE20,2017,1,9.4,60,Formado,54
15224,123676.0,0.8913,10,19/08/15,CSF20,2017,1,10.0,45,Formado,55
15225,123676.0,0.8913,10,19/08/15,CSD20,2017,1,8.6,45,Formado,56
15228,123676.0,0.8913,10,19/08/15,CSH30,2017,1,7.9,45,Formado,57
15231,123676.0,0.8913,10,19/08/15,EEB21,2017,1,9.1,45,Formado,58
